Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
11,8,56,7,JUWELS Booster Module,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2020,Research,"449,280","404,352","44,120.00","70,980.00","4,315,584",,"1,275.36","1,764.22",Submitted,25.01,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",CentOS,Linux,NVIDIA A100,24,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179894
12,9,55,6,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,DELL EMC,Italy,2020,Industry,"669,760","582,400","35,450.00","51,720.76","5,750,784",,860.32,"2,252.17",Submitted,15.74,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,"50,489",179856
13,10,58,10,Voyager-EUS2,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",Azure East US 2,Microsoft Azure,United States,2021,Vendor,"253,440","228,096","30,050.00","39,531.15","4,669,056",,,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 18.04 LTS,Linux,NVIDIA A100 80GB​,48,AMD Rome,ND96amsr_A100_v4,Microsoft Azure Cluster,Infiniband,Mellanox HDR Infiniband,North America,"50,897",180024
14,12,58,12,Polaris,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",DOE/SC/Argonne National Laboratory,HPE,United States,2021,Research,"256,592","238,896","25,810.00","34,163.19","3,397,536",,,,,,,Cluster,AMD EPYC 7532 32C 2.4GHz,AMD Zen-2 (Rome),"2,400",SLES15 SP2,Linux,NVIDIA A100 SXM4 40 GB,32,AMD Rome,Apollo 6500,HPE Apollo,Gigabit Ethernet,Slingshot-10,North America,"47,347",180016
15,11,58,11,SSC-21,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",Samsung Electronics,HPE,South Korea,2021,Industry,"204,160","190,080","25,177.00","31,751.10","4,130,000",,,,,,,Cluster,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),"2,800",RHEL 8.3,Linux,NVIDIA A100 80GB​,32,AMD Milan,Apollo 6500 Gen10 plus,HPE Apollo,Infiniband,Infiniband HDR200,Asia,"50,903",180041
16,13,53,5,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",Texas Advanced Computing Center/Univ. of Texas,DELL EMC,United States,2019,Academic,"448,448",,"23,516.40","38,745.91","9,262,848",,,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",CentOS Linux 7,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR,North America,"48,958",179607
17,14,58,14,CEA-HF,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",Commissariat a l'Energie Atomique (CEA),Atos,France,2021,Research,"810,240",,"23,237.60","31,761.40","12,153,600",,340.84,"4,959.47",Submitted,4.69,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Milan,BullSequana XH2000,BullSequana,Custom Interconnect,Atos BXI V2,Europe,"47,593",180031
18,15,56,10,Dammam-7,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,"672,520","632,960","22,400.00","55,423.56","5,696,640",,881.40,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),Cray CS-Storm,Cray CS-Storm,Infiniband,InfiniBand HDR 100,Asia,"48,751",179885
19,16,57,12,ABCI 2.0,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2021,Research,"504,000","451,840","22,208.72","54,340.99","3,435,000",,,"1,600.32",Submitted,13.88,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,762",179954
20,17,57,13,Wisteria/BDEC-01 (Odyssey),"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,"368,640",,"22,121.00","25,952.26","4,853,760",,817.58,"1,468.00",Submitted,15.07,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,096",179962
21,18,55,9,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,"347,776","316,160","21,640.00","29,354.00","2,722,137",,498.43,"1,476.00",Submitted,14.66,,Cluster,IBM POWER9 16C 3GHz,Power,"3,000",RHEL 7.6,Linux,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"47,495",179845
22,19,58,19,Chervonenkis,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",Yandex,"YANDEX, NVIDIA",Russia,2021,Industry,"193,440","168,480","21,530.00","29,415.17","3,926,016",,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,AMD Rome,YANDEX Y4N-GA1-TY25-ZB0,YANDEX Cluster,Infiniband,Infiniband,Europe,"50,862",180029
23,20,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2017,Research,"387,872","319,424","21,230.00","27,154.30","3,743,232",,496.98,"2,384.24",Submitted,8.90,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"50,422",177824
24,21,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,HPE,United States,2017,Research,"979,072",,"20,158.70","41,461.15","12,353,536",,546.12,"7,578.10",Submitted,2.66,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"50,334",178610
25,22,58,22,ARCHER2,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",EPSRC/University of Edinburgh,HPE,United Kingdom,2021,Research,"716,800",,"19,539.00","25,804.00","5,816,959",,350.21,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,487",180036
26,23,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Leibniz Rechenzentrum,Lenovo,Germany,2018,Academic,"305,856",,"19,476.60","26,873.86","8,402,688",,207.84,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum,ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"48,248",179566
27,24,56,16,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2020,Research,"698,880",,"19,334.00","25,159.68","9,984,000",,334.65,"3,905.83",Submitted,4.95,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Tri-Lab Operating System ,Linux,None,64,AMD Rome,Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,"50,543",179880
28,25,57,19,Ghawar-1,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",Saudi Aramco,HPE,Saudi Arabia,2021,Industry,"714,240",,"19,256.00","22,855.68","9,791,600",,381.72,,,,,MPP,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",SLES15 SP2,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Asia,"48,751",179929
29,,59,29,Frontier TDS,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,"120,832","112,640","19,200.00","23,105.54","2,875,392",,,308.68,Submitted,62.20,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,553",180053
30,26,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,"288,288","253,440","18,200.00","23,047.20","5,059,584",,,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,"3,100",Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"49,763",179567
31,27,57,24,Guru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,"306,432",,"18,002.80","25,495.14","8,239,104",,,"3,296.00",Submitted,5.46,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,38,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,890",179912
32,28,58,28,Maru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,"306,432",,"18,002.80","25,495.14","8,239,104",,,"3,296.00",Submitted,5.46,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,38,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,890",180023
33,29,53,11,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,"291,024","270,720","17,860.00","25,025.81","5,760,000",,,"1,367.00",Submitted,13.07,,Cluster,IBM POWER9 18C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"49,546",179689
34,30,57,22,HiPerGator AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",University of Florida,Nvidia,United States,2021,Academic,"138,880","120,960","17,200.00","21,314.72","3,450,528",,424.43,582.63,Submitted,29.52,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Red Hat Enterprise Linux,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,"49,751",179940
35,31,56,19,TOKI-SORA,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Aerospace eXploration Agency,Fujitsu,Japan,2020,Research,"276,480",,"16,592.00","19,464.20","4,208,640",,614.22,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,187",179895
36,32,57,26,Pioneer-EUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure East US,Microsoft Azure,United States,2020,Vendor,"157,440","141,696","16,590.00","24,557.23","2,621,376",,455.56,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,"50,871",179969
37,33,57,27,Pioneer-SCUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure South Central US,Microsoft Azure,United States,2021,Vendor,"157,440","141,696","16,590.00","24,557.23","2,621,376",,455.56,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,"50,870",179970
38,34,57,28,Pioneer-WEU,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure West Europe,Microsoft Azure,Netherlands,2021,Vendor,"157,440","141,696","16,590.00","24,557.23","2,621,376",,455.56,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,Europe,"50,868",179968
39,35,57,29,Pioneer-WUS2,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Azure West US 2,Microsoft Azure,United States,2021,Others,"157,440","141,696","16,590.00","24,557.23","2,621,376",,455.56,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Rome,NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,"50,889",179967
40,36,58,36,Galushkin,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",Yandex,"YANDEX, NVIDIA",Russia,2021,Industry,"134,912","117,504","16,020.00","20,636.10","3,321,216",,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,AMD Rome,YANDEX Y4N-GA1-TY25-ZB0,YANDEX Cluster,Infiniband,Infiniband,Europe,"50,862",180037
41,37,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,HPE,United States,2016,Research,"622,336",,"14,014.70","27,880.65","6,984,960",,355.44,"3,939.00",Submitted,3.56,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,429",178924
42,38,51,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Korea Institute of Science and Technology Information,HPE,South Korea,2018,Research,"570,020",,"13,929.30","25,705.90","10,076,976",,391.45,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",CentOS,Linux,None,68,Intel Xeon Phi,Cray CS500,Cray CS,Omnipath,Intel Omni-Path,Asia,"50,770",179421
43,40,58,40,Lyapunov,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband",Yandex,"NVIDIA, Inspur",Russia,2020,Industry,"130,944","114,048","12,810.00","20,029.19","2,315,808",,,,,,,Cluster,AMD EPYC 7662 64C 2GHz,AMD Zen-2 (Rome),"2,000",Ubuntu 16.04,Linux,NVIDIA A100 40GB,64,AMD Rome,Inspur NF5488A5,Inspur Cluster,Infiniband,Infiniband,Europe,"50,862",180030
44,41,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,"253,600","177,520","12,210.00","18,621.14","5,947,392",,271.87,"1,320.00",Submitted,9.25,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,"50,489",179444
45,42,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Atos,France,2017,Research,"561,408",,"11,965.50","23,396.35","10,321,920",,333.76,"3,178.00",Submitted,3.77,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",bullx SCS,Linux,None,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,"47,593",179412
46,43,58,43,Christofari Neo,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",SberCloud,Nvidia,Russia,2021,Industry,"98,208","85,536","11,950.00","14,908.61","2,889,216",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",NVIDIA DGX OS 5,Linux,NVIDIA A100 80GB​,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband,Europe,"50,820",180028
47,44,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,DELL EMC,United States,2017,Academic,"367,024",,"10,680.70","18,309.22","8,242,944",,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,"1,400",CentOS,Linux,None,68,Intel Xeon Phi,PowerEdge C6320P,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"48,958",179045
48,45,57,36,MeluXina - Accelerator Module,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",LuxProvide,Atos,Luxembourg,2021,Research,"99,200","86,400","10,520.00","15,288.00","2,040,192",,280.03,390.25,Submitted,26.96,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),"2,350",RHEL compatible,Linux,NVIDIA A100 40GB,32,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"50,882",179932
49,46,57,37,Cactus,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2021,Government,"327,680",,"10,013.00","11,796.48","8,413,184",,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"50,879",179944
